2025-03-08 00:25:05.7110 | INFO | HelloGreetingApplication.Program | Started app... 
2025-03-08 00:25:06.4036 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7042 
2025-03-08 00:25:06.4123 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5142 
2025-03-08 00:25:06.4146 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2025-03-08 00:25:06.4167 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2025-03-08 00:25:06.4167 | INFO | Microsoft.Hosting.Lifetime | Content root path: /Users/swapnilgupta/Documents/GitHub/greetingApp/HelloGreetingApplication/ 
2025-03-08 00:25:07.4918 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET https://localhost:7042/Swagger/index.html - - 
2025-03-08 00:25:07.5788 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET https://localhost:7042/Swagger/index.html - - - 200 - text/html;charset=utf-8 86.8918ms 
2025-03-08 00:25:07.5957 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET https://localhost:7042/Swagger/index.js - - 
2025-03-08 00:25:07.5964 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET https://localhost:7042/Swagger/index.js - - - 200 - application/javascript;charset=utf-8 0.7160ms 
2025-03-08 00:25:07.6471 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET https://localhost:7042/swagger/v1/swagger.json - - 
2025-03-08 00:25:07.7239 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET https://localhost:7042/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 76.8767ms 
2025-03-08 15:32:33.8416 | INFO | HelloGreetingApplication.Program | Started app... 
2025-03-08 15:32:34.4356 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7042 
2025-03-08 15:32:34.4458 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5142 
2025-03-08 15:32:34.4484 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2025-03-08 15:32:34.4505 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2025-03-08 15:32:34.4509 | INFO | Microsoft.Hosting.Lifetime | Content root path: /Users/swapnilgupta/Documents/GitHub/greetingApp/HelloGreetingApplication/ 
2025-03-08 15:32:36.1716 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET https://localhost:7042/Swagger/index.html - - 
2025-03-08 15:32:36.2501 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET https://localhost:7042/Swagger/index.html - - - 200 - text/html;charset=utf-8 80.0257ms 
2025-03-08 15:32:36.3620 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET https://localhost:7042/Swagger/index.css - - 
2025-03-08 15:32:36.3620 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET https://localhost:7042/Swagger/swagger-ui-standalone-preset.js - - 
2025-03-08 15:32:36.3620 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET https://localhost:7042/Swagger/swagger-ui-bundle.js - - 
2025-03-08 15:32:36.3620 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET https://localhost:7042/Swagger/swagger-ui.css - - 
2025-03-08 15:32:36.3630 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET https://localhost:7042/Swagger/index.js - - 
